accession	environment	obtId
GCF_000296795.1	fish	OBT:002793
GCF_000296795.1	waste water	OBT:002754
GCF_000296795.1	presence of quorum sensing	OBT:000143
GCF_000296795.1	anammox	OBT:003036
GCF_000296795.1	anaerobe	OBT:000189
GCF_000786775.1	water column	OBT:001377
GCF_000786775.1	water	OBT:000468
GCF_000786775.1	soil	OBT:000427
GCF_000786775.1	rice paddy	OBT:002581
GCF_000786775.1	marine environment	OBT:000338
GCF_000786775.1	bioreactor	OBT:000056
GCF_000786775.1	respiratory tract	OBT:000407
GCF_000786775.1	sediment	OBT:001303
GCF_000786775.1	anammox	OBT:003036
GCF_000786775.1	anaerobic sludge blanket reactor, anaerobic ammonium oxidizer enrichment reactor	OBT:000488
GCF_000949635.1	biofilter, upflow anaerobic biofilters	OBT:002766
GCF_000949635.1	anaerobic bioreactor, laboratory-scale anaerobic membrane bioreactor	OBT:000190
GCF_000949635.1	waste, synthetic ammonium waste	OBT:000467
GCA_019186885.1	fish	OBT:002793
GCA_019186885.1	air filter	OBT:000980
GCA_019186885.1	biofilm	OBT:000054
GCA_019186885.1	lake	OBT:001171
GCA_019186885.1	sediment	OBT:001303
GCA_019186885.1	hotspring	OBT:002990
GCA_019186885.1	natural forest	OBT:003815
GCA_019186885.1	forest	OBT:001119
GCA_019186885.1	aerobic granular sludge reactor	OBT:003657
GCA_019186885.1	cell	OBT:000061
GCA_019186885.1	living organism	OBT:000010
GCA_019186885.1	phenol	OBT:000803
GCA_019186885.1	pet	OBT:001254
GCA_019186885.1	anammox	OBT:003036
GCA_019186885.1	bioreactor, bioreactor	OBT:000056
GCA_019186885.1	laboratory, laboratory	OBT:001169
GCA_026647655.1	biofilter, upflow anaerobic biofilters	OBT:002766
GCA_026647655.1	biofilm	OBT:000054
GCA_026647655.1	bioreactor	OBT:000056
GCA_026647655.1	fish	OBT:002793
GCA_026647655.1	cell	OBT:000061
GCA_026647655.1	natural gas	OBT:000759
GCA_026647655.1	plankton	OBT:001257
GCA_026647655.1	living organism	OBT:000010
GCA_026647655.1	maize storage	OBT:000721
GCA_026647655.1	experimental medium	OBT:000007
GCA_026647655.1	room	OBT:000414
GCA_026647655.1	waste water	OBT:002754
GCA_026647655.1	baking soda	OBT:001000
GCA_026647655.1	anaerobic bioreactor	OBT:000190
GCA_026647655.1	anaerobic environment	OBT:000191
GCA_026647655.1	anammox	OBT:003036
GCA_026647655.1	planktonic	OBT:000139
GCA_026647655.1	anaerobe	OBT:000189
GCA_026647655.1	free-living	OBT:000288
GCA_026647655.1	anaerobic bioreactor, laboratory-scale anaerobic membrane bioreactor	OBT:000190
GCA_026647655.1	waste, synthetic ammonium waste	OBT:000467
GCF_001753675.2	anammox	OBT:003036
GCF_001753675.2	waste, synthetic ammonium waste	OBT:000467
GCF_001753675.2	anaerobic bioreactor, laboratory-scale anaerobic membrane bioreactor	OBT:000190
GCA_002009475.1	bioreactor, lab reactor	OBT:000056
GCF_900232175.1	biofilm	OBT:000054
GCF_900232175.1	bioreactor	OBT:000056
GCF_900232175.1	hotspring	OBT:002990
GCF_900232175.1	natural forest	OBT:003815
GCF_900232175.1	forest	OBT:001119
GCF_900232175.1	water	OBT:000468
GCF_900232175.1	marine environment	OBT:000338
GCF_900232175.1	living organism	OBT:000010
GCF_900232175.1	landfill leachate	OBT:002096
GCF_900232175.1	landfill	OBT:000331
GCF_900232175.1	cell	OBT:000061
GCF_900232175.1	waste treatment plant	OBT:002753
GCF_900232175.1	anammox	OBT:003036
GCF_900232175.1	anaerobe	OBT:000189
GCF_900232175.1	planktonic	OBT:000139
GCF_900232175.1	lake sediment, Liangzi Lake sediment	OBT:002499
GCF_002443295.1	marine environment	OBT:000338
GCF_002443295.1	living organism	OBT:000010
GCA_963805825.1	sludge, anammox sludge	OBT:001773
GCA_046291035.1	freshwater	OBT:002455
GCA_046291035.1	marine environment	OBT:000338
GCA_046291035.1	biofilm	OBT:000054
GCA_046291035.1	aerobic granular sludge reactor	OBT:003657
GCA_046291035.1	bioreactor	OBT:000056
GCA_046291035.1	phenol	OBT:000803
GCA_046291035.1	wastewater treatment plant	OBT:003239
GCA_046291035.1	anammox	OBT:003036
GCA_004351875.1	living organism	OBT:000010
GCA_004351875.1	marine environment	OBT:000338
GCA_004351875.1	bioreactor	OBT:000056
GCA_004351875.1	marine water	OBT:003105
GCA_048060935.1	water column	OBT:001377
GCA_048060935.1	marine water	OBT:003105
GCA_048060935.1	salt	OBT:001753
GCA_048060935.1	marine environment	OBT:000338
GCA_048060935.1	sediment	OBT:001303
GCA_048060935.1	cell	OBT:000061
GCA_048060935.1	plankton	OBT:001257
GCA_048060935.1	bioreactor	OBT:000056
GCA_048060935.1	freshwater	OBT:002455
GCA_048060935.1	sea salt	OBT:002243
GCA_048060935.1	anaerobic bioreactor	OBT:000190
GCA_048060935.1	anaerobic environment	OBT:000191
GCA_048060935.1	anammox	OBT:003036
GCA_036477455.1	marine sediment	OBT:002127
GCA_036477455.1	marine environment	OBT:000338
GCF_048500235.1	anammox	OBT:003036
GCA_030409085.1	marine environment	OBT:000338
GCA_030409085.1	freshwater	OBT:002455
GCA_030409085.1	anammox	OBT:003036
GCA_017347445.1	anammox	OBT:003036
GCA_018263435.1	sediment	OBT:001303
GCA_020724075.1	marine environment	OBT:000338
GCA_020724075.1	freshwater	OBT:002455
GCA_020724075.1	anammox	OBT:003036
GCA_021646405.1	biofilm	OBT:000054
GCA_021646405.1	waste water	OBT:002754
