organismName	taxId	checkmSpeciesTaxId	accession	completeness	gcPercent	superkingdom	phylum	class	order	family	genus	species
Candidatus Jettenia caeni	247490		GCA_000296795.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	247490 [species] Candidatus Jettenia caeni
Candidatus Kuenenia stuttgartiensis enrichment culture clone CH1	1230344		GCA_000315095.1		40.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis enrichment culture clone RU1	1230345		GCA_000315115.1		41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Scalindua brodae	237368		GCA_000786775.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	237368 [species] Candidatus Scalindua brodae
Candidatus Brocadia sinica JPN1	1197129	795830	GCA_000949635.1	94.83	42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	795830 [species] Candidatus Brocadia sinica
Candidatus Brocadia fulgida	380242		GCA_000987375.1		45.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	380242 [species] Candidatus Brocadia fulgida
Candidatus Brocadia sinica	795830		GCA_001567345.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	795830 [species] Candidatus Brocadia sinica
Candidatus Scalindua rubra	1872076		GCA_001723765.1		37.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	1872076 [species] Candidatus Scalindua rubra
Candidatus Brocadia sapporoensis	392547	392547	GCA_001753675.2	89.66	42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	392547 [species] Candidatus Brocadia sapporoensis
Candidatus Brocadia carolinensis	1004156		GCA_002009475.1		43.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	1004156 [species] Candidatus Brocadia carolinensis
Candidatus Brocadia sp. UTAMX2	1961114		GCA_002050315.1		45.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	1961114 [species] Candidatus Brocadia sp. UTAMX2
Candidatus Brocadia sp. UTAMX1	1961113		GCA_002050325.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	1961113 [species] Candidatus Brocadia sp. UTAMX1
Candidatus Kuenenia stuttgartiensis	174633		GCA_002418245.1		40.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Scalindua japonica	1284222	1284222	GCA_002443295.1	93.1	39.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	1284222 [species] Candidatus Scalindua japonica
Candidatus Scalindua rubra	1872076		GCA_002632345.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	1872076 [species] Candidatus Scalindua rubra
Candidatus Kuenenia stuttgartiensis	174633		GCA_002632395.1		40.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Brocadia sp. R4W10303	1981507		GCA_002848945.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	1981507 [species] Candidatus Brocadia sp. R4W10303
Candidatus Brocadiaceae bacterium	2094028		GCA_003551305.1		66.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_003551385.1		50.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_003551565.1		57.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_003551785.1		48.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_003552145.1		52.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_003557395.1		59.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_003558595.1		57.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_003558815.1		55.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_003567495.1		52.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadia sp.	2172549		GCA_003577195.1		45.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadia sp.	2172549		GCA_003577215.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadia sp. BROELEC01	2512248		GCA_004282735.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2512248 [species] Candidatus Brocadia sp. BROELEC01
Candidatus Scalindua sp. SCAELEC01	2512262		GCA_004282745.1		41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2512262 [species] Candidatus Scalindua sp. SCAELEC01
Candidatus Scalindua sp. AMX11	2555784		GCA_004351875.1		41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2555784 [species] Candidatus Scalindua sp. AMX11
Candidatus Brocadiia bacterium	2517210		GCA_004525105.1		47.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
