genome_name,contig_size,p_gene_nr,p_gene_length_sum,n_gene_nr,n_gene_length_sum,p_U_overlap_nr,p_U_overlap_length_sum,n_U_overlap_nr,n_U_overlap_length_sum,p_gap_length_sum,n_gap_length_sum,C_overlap_nr,D_overlap_nr,C_lengt_sum,D_lengt_sum
GCA_000296795.1,1212867,427,399077,654,616563,42,-533,61,-645,809546,589536,0,0,0,0
GCA_000296795.1,1918969,1009,987164,730,635525,119,-986,69,-667,910836,1258809,0,0,0,0
GCA_000296795.1,853441,383,340723,360,342825,31,-275,28,-287,469842,473455,0,0,0,0
GCA_000296795.1,102073,27,18555,63,58278,2,-16,7,-92,65834,37763,0,1,0,25
GCA_000786775.1,777,1,178,1,162,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,1770,1,503,1,654,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,2628,4,1558,0,0,0,0,0,0,923,0,0,0,0,0
GCA_000786775.1,2106,2,646,1,791,0,0,0,0,4,0,0,0,0,0
GCA_000786775.1,41567,34,25761,11,9457,7,-55,1,0,15363,932,0,0,0,0
GCA_000786775.1,1076,1,746,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,4876,2,667,7,2663,1,-3,2,-19,-3,2043,0,0,0,0
GCA_000786775.1,15021,13,6743,5,5668,5,-127,0,0,4280,1365,0,0,0,0
GCA_000786775.1,1909,0,0,3,1507,0,0,0,0,0,163,0,0,0,0
GCA_000786775.1,974,0,0,1,584,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,1897,0,0,1,1852,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,12893,3,438,9,6828,1,-3,3,-34,765,5703,0,0,0,0
GCA_000786775.1,5458,3,4644,0,0,0,0,0,0,399,0,0,0,0,0
GCA_000786775.1,11602,5,4801,7,5033,0,0,2,-31,591,6489,0,0,0,0
GCA_000786775.1,17598,2,1534,16,12063,0,0,1,0,13947,3870,0,0,0,0
GCA_000786775.1,13044,0,0,14,12151,0,0,5,-35,0,700,0,0,0,0
GCA_000786775.1,7170,4,1793,8,2905,0,0,1,-15,4625,2920,0,0,0,0
GCA_000786775.1,2350,2,2077,0,0,0,0,0,0,118,0,0,0,0,0
GCA_000786775.1,47151,31,30422,13,8499,4,-152,0,0,13576,38555,0,0,0,0
GCA_000786775.1,7656,0,0,1,7655,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,13496,0,0,15,11986,0,0,3,-31,0,1509,0,0,0,0
GCA_000786775.1,40719,11,8890,25,26210,2,-37,5,-9,18974,13717,0,0,0,0
GCA_000786775.1,1121,2,1039,0,0,0,0,0,0,81,0,0,0,0,0
